hero1,hero2
HUNTARA/MARY ELIZABE,MARGOYLE
MARGOYLE,ROOTAR
MARGOYLE,FURGAR
MARGOYLE,VIBRAXAS/N'KANO
MARGOYLE,"ATOR, GENERAL"
MARGOYLE,PULSSUS
MARGOYLE,ARCADIUS
ARCADIUS,ROOTAR
ARCADIUS,FURGAR
ARCADIUS,VIBRAXAS/N'KANO
ARCADIUS,"ATOR, GENERAL"
ARCADIUS,PULSSUS
PULSSUS,ROOTAR
PULSSUS,FURGAR
PULSSUS,VIBRAXAS/N'KANO
PULSSUS,"ATOR, GENERAL"
"ATOR, GENERAL",ROOTAR
"ATOR, GENERAL",FURGAR
"ATOR, GENERAL",VIBRAXAS/N'KANO
VIBRAXAS/N'KANO,ROOTAR
VIBRAXAS/N'KANO,FURGAR
FURGAR,ROOTAR
HULK/DR. ROBERT BRUC,NIGHTHAWK II/KYLE RI
HULK/DR. ROBERT BRUC,DR. STRANGE/STEPHEN
HULK/DR. ROBERT BRUC,ASMODEUS
HULK/DR. ROBERT BRUC,"NORRISS, SISTER BARB"
HULK/DR. ROBERT BRUC,HELLSTORM/DAIMON HEL
HELLSTORM/DAIMON HEL,NIGHTHAWK II/KYLE RI
HELLSTORM/DAIMON HEL,DR. STRANGE/STEPHEN
HELLSTORM/DAIMON HEL,ASMODEUS
HELLSTORM/DAIMON HEL,"NORRISS, SISTER BARB"
"NORRISS, SISTER BARB",NIGHTHAWK II/KYLE RI
"NORRISS, SISTER BARB",DR. STRANGE/STEPHEN
"NORRISS, SISTER BARB",ASMODEUS
ASMODEUS,NIGHTHAWK II/KYLE RI
ASMODEUS,DR. STRANGE/STEPHEN
DR. STRANGE/STEPHEN,NIGHTHAWK II/KYLE RI
BLACK WIDOW/NATASHA,"MARRS(-PAYNE), PHOEB"
BLACK WIDOW/NATASHA,QUASAR III/WENDELL V
BLACK WIDOW/NATASHA,SERSI/SYLVIA
BLACK WIDOW/NATASHA,HULK/DR. ROBERT BRUC
BLACK WIDOW/NATASHA,SHE-HULK/JENNIFER WA
BLACK WIDOW/NATASHA,SPITFIRE/LADY JACQUE
BLACK WIDOW/NATASHA,NAMORITA/NITA PRENTI
BLACK WIDOW/NATASHA,HUMAN TORCH ANDROID/
BLACK WIDOW/NATASHA,DR. STRANGE/STEPHEN
BLACK WIDOW/NATASHA,HUMAN TORCH/JOHNNY S
BLACK WIDOW/NATASHA,INVISIBLE WOMAN/SUE
BLACK WIDOW/NATASHA,"ALEXANDER, CARRIE"
BLACK WIDOW/NATASHA,CAPTAIN AMERICA
BLACK WIDOW/NATASHA,MR. FANTASTIC/REED R
BLACK WIDOW/NATASHA,SUB-MARINER/NAMOR MA
BLACK WIDOW/NATASHA,THING/BENJAMIN J. GR
BLACK WIDOW/NATASHA,"ALEXANDER, CALEB"
BLACK WIDOW/NATASHA,ANT-MAN/DR. HENRY J.
ANT-MAN/DR. HENRY J.,"MARRS(-PAYNE), PHOEB"
ANT-MAN/DR. HENRY J.,QUASAR III/WENDELL V
ANT-MAN/DR. HENRY J.,SERSI/SYLVIA
ANT-MAN/DR. HENRY J.,HULK/DR. ROBERT BRUC
ANT-MAN/DR. HENRY J.,SHE-HULK/JENNIFER WA
ANT-MAN/DR. HENRY J.,SPITFIRE/LADY JACQUE
ANT-MAN/DR. HENRY J.,NAMORITA/NITA PRENTI
ANT-MAN/DR. HENRY J.,HUMAN TORCH ANDROID/
ANT-MAN/DR. HENRY J.,DR. STRANGE/STEPHEN
ANT-MAN/DR. HENRY J.,HUMAN TORCH/JOHNNY S
ANT-MAN/DR. HENRY J.,INVISIBLE WOMAN/SUE
ANT-MAN/DR. HENRY J.,"ALEXANDER, CARRIE"
ANT-MAN/DR. HENRY J.,CAPTAIN AMERICA
ANT-MAN/DR. HENRY J.,MR. FANTASTIC/REED R
ANT-MAN/DR. HENRY J.,SUB-MARINER/NAMOR MA
ANT-MAN/DR. HENRY J.,THING/BENJAMIN J. GR
ANT-MAN/DR. HENRY J.,"ALEXANDER, CALEB"
"ALEXANDER, CALEB","MARRS(-PAYNE), PHOEB"
"ALEXANDER, CALEB",QUASAR III/WENDELL V
"ALEXANDER, CALEB",SERSI/SYLVIA
"ALEXANDER, CALEB",HULK/DR. ROBERT BRUC
"ALEXANDER, CALEB",SHE-HULK/JENNIFER WA
"ALEXANDER, CALEB",SPITFIRE/LADY JACQUE
"ALEXANDER, CALEB",NAMORITA/NITA PRENTI
"ALEXANDER, CALEB",HUMAN TORCH ANDROID/
"ALEXANDER, CALEB",DR. STRANGE/STEPHEN
"ALEXANDER, CALEB",HUMAN TORCH/JOHNNY S
"ALEXANDER, CALEB",INVISIBLE WOMAN/SUE
"ALEXANDER, CALEB","ALEXANDER, CARRIE"
"ALEXANDER, CALEB",CAPTAIN AMERICA
"ALEXANDER, CALEB",MR. FANTASTIC/REED R
"ALEXANDER, CALEB",SUB-MARINER/NAMOR MA
"ALEXANDER, CALEB",THING/BENJAMIN J. GR
THING/BENJAMIN J. GR,"MARRS(-PAYNE), PHOEB"
THING/BENJAMIN J. GR,QUASAR III/WENDELL V
THING/BENJAMIN J. GR,SERSI/SYLVIA
THING/BENJAMIN J. GR,HULK/DR. ROBERT BRUC
THING/BENJAMIN J. GR,SHE-HULK/JENNIFER WA
THING/BENJAMIN J. GR,SPITFIRE/LADY JACQUE
THING/BENJAMIN J. GR,NAMORITA/NITA PRENTI
THING/BENJAMIN J. GR,HUMAN TORCH ANDROID/
THING/BENJAMIN J. GR,DR. STRANGE/STEPHEN
THING/BENJAMIN J. GR,HUMAN TORCH/JOHNNY S
THING/BENJAMIN J. GR,INVISIBLE WOMAN/SUE
THING/BENJAMIN J. GR,"ALEXANDER, CARRIE"
THING/BENJAMIN J. GR,CAPTAIN AMERICA
THING/BENJAMIN J. GR,MR. FANTASTIC/REED R
THING/BENJAMIN J. GR,SUB-MARINER/NAMOR MA
SUB-MARINER/NAMOR MA,"MARRS(-PAYNE), PHOEB"
SUB-MARINER/NAMOR MA,QUASAR III/WENDELL V
SUB-MARINER/NAMOR MA,SERSI/SYLVIA
SUB-MARINER/NAMOR MA,HULK/DR. ROBERT BRUC
SUB-MARINER/NAMOR MA,SHE-HULK/JENNIFER WA
SUB-MARINER/NAMOR MA,SPITFIRE/LADY JACQUE
SUB-MARINER/NAMOR MA,NAMORITA/NITA PRENTI
SUB-MARINER/NAMOR MA,HUMAN TORCH ANDROID/
SUB-MARINER/NAMOR MA,DR. STRANGE/STEPHEN
SUB-MARINER/NAMOR MA,HUMAN TORCH/JOHNNY S
SUB-MARINER/NAMOR MA,INVISIBLE WOMAN/SUE
SUB-MARINER/NAMOR MA,"ALEXANDER, CARRIE"
SUB-MARINER/NAMOR MA,CAPTAIN AMERICA
SUB-MARINER/NAMOR MA,MR. FANTASTIC/REED R
MR. FANTASTIC/REED R,"MARRS(-PAYNE), PHOEB"
MR. FANTASTIC/REED R,QUASAR III/WENDELL V
MR. FANTASTIC/REED R,SERSI/SYLVIA
MR. FANTASTIC/REED R,HULK/DR. ROBERT BRUC
MR. FANTASTIC/REED R,SHE-HULK/JENNIFER WA
MR. FANTASTIC/REED R,SPITFIRE/LADY JACQUE
MR. FANTASTIC/REED R,NAMORITA/NITA PRENTI
MR. FANTASTIC/REED R,HUMAN TORCH ANDROID/
MR. FANTASTIC/REED R,DR. STRANGE/STEPHEN
MR. FANTASTIC/REED R,HUMAN TORCH/JOHNNY S
MR. FANTASTIC/REED R,INVISIBLE WOMAN/SUE
MR. FANTASTIC/REED R,"ALEXANDER, CARRIE"
MR. FANTASTIC/REED R,CAPTAIN AMERICA
CAPTAIN AMERICA,"MARRS(-PAYNE), PHOEB"
CAPTAIN AMERICA,QUASAR III/WENDELL V
CAPTAIN AMERICA,SERSI/SYLVIA
CAPTAIN AMERICA,HULK/DR. ROBERT BRUC
CAPTAIN AMERICA,SHE-HULK/JENNIFER WA
CAPTAIN AMERICA,SPITFIRE/LADY JACQUE
CAPTAIN AMERICA,NAMORITA/NITA PRENTI
CAPTAIN AMERICA,HUMAN TORCH ANDROID/
CAPTAIN AMERICA,DR. STRANGE/STEPHEN
CAPTAIN AMERICA,HUMAN TORCH/JOHNNY S
CAPTAIN AMERICA,INVISIBLE WOMAN/SUE
CAPTAIN AMERICA,"ALEXANDER, CARRIE"
"ALEXANDER, CARRIE","MARRS(-PAYNE), PHOEB"
"ALEXANDER, CARRIE",QUASAR III/WENDELL V
"ALEXANDER, CARRIE",SERSI/SYLVIA
"ALEXANDER, CARRIE",HULK/DR. ROBERT BRUC
"ALEXANDER, CARRIE",SHE-HULK/JENNIFER WA
"ALEXANDER, CARRIE",SPITFIRE/LADY JACQUE
"ALEXANDER, CARRIE",NAMORITA/NITA PRENTI
"ALEXANDER, CARRIE",HUMAN TORCH ANDROID/
"ALEXANDER, CARRIE",DR. STRANGE/STEPHEN
"ALEXANDER, CARRIE",HUMAN TORCH/JOHNNY S
"ALEXANDER, CARRIE",INVISIBLE WOMAN/SUE
INVISIBLE WOMAN/SUE,"MARRS(-PAYNE), PHOEB"
INVISIBLE WOMAN/SUE,QUASAR III/WENDELL V
INVISIBLE WOMAN/SUE,SERSI/SYLVIA
INVISIBLE WOMAN/SUE,HULK/DR. ROBERT BRUC
INVISIBLE WOMAN/SUE,SHE-HULK/JENNIFER WA
INVISIBLE WOMAN/SUE,SPITFIRE/LADY JACQUE
INVISIBLE WOMAN/SUE,NAMORITA/NITA PRENTI
INVISIBLE WOMAN/SUE,HUMAN TORCH ANDROID/
INVISIBLE WOMAN/SUE,DR. STRANGE/STEPHEN
INVISIBLE WOMAN/SUE,HUMAN TORCH/JOHNNY S
HUMAN TORCH/JOHNNY S,"MARRS(-PAYNE), PHOEB"
HUMAN TORCH/JOHNNY S,QUASAR III/WENDELL V
HUMAN TORCH/JOHNNY S,SERSI/SYLVIA
HUMAN TORCH/JOHNNY S,HULK/DR. ROBERT BRUC
HUMAN TORCH/JOHNNY S,SHE-HULK/JENNIFER WA
HUMAN TORCH/JOHNNY S,SPITFIRE/LADY JACQUE
HUMAN TORCH/JOHNNY S,NAMORITA/NITA PRENTI
HUMAN TORCH/JOHNNY S,HUMAN TORCH ANDROID/
HUMAN TORCH/JOHNNY S,DR. STRANGE/STEPHEN
DR. STRANGE/STEPHEN,"MARRS(-PAYNE), PHOEB"
DR. STRANGE/STEPHEN,QUASAR III/WENDELL V
DR. STRANGE/STEPHEN,SERSI/SYLVIA
DR. STRANGE/STEPHEN,HULK/DR. ROBERT BRUC
DR. STRANGE/STEPHEN,SHE-HULK/JENNIFER WA
DR. STRANGE/STEPHEN,SPITFIRE/LADY JACQUE
DR. STRANGE/STEPHEN,NAMORITA/NITA PRENTI
DR. STRANGE/STEPHEN,HUMAN TORCH ANDROID/
HUMAN TORCH ANDROID/,"MARRS(-PAYNE), PHOEB"
HUMAN TORCH ANDROID/,QUASAR III/WENDELL V
HUMAN TORCH ANDROID/,SERSI/SYLVIA
HUMAN TORCH ANDROID/,HULK/DR. ROBERT BRUC
HUMAN TORCH ANDROID/,SHE-HULK/JENNIFER WA
HUMAN TORCH ANDROID/,SPITFIRE/LADY JACQUE
HUMAN TORCH ANDROID/,NAMORITA/NITA PRENTI
NAMORITA/NITA PRENTI,"MARRS(-PAYNE), PHOEB"
NAMORITA/NITA PRENTI,QUASAR III/WENDELL V
NAMORITA/NITA PRENTI,SERSI/SYLVIA
NAMORITA/NITA PRENTI,HULK/DR. ROBERT BRUC
NAMORITA/NITA PRENTI,SHE-HULK/JENNIFER WA
NAMORITA/NITA PRENTI,SPITFIRE/LADY JACQUE
SPITFIRE/LADY JACQUE,"MARRS(-PAYNE), PHOEB"
SPITFIRE/LADY JACQUE,QUASAR III/WENDELL V
SPITFIRE/LADY JACQUE,SERSI/SYLVIA
SPITFIRE/LADY JACQUE,HULK/DR. ROBERT BRUC
SPITFIRE/LADY JACQUE,SHE-HULK/JENNIFER WA
SHE-HULK/JENNIFER WA,"MARRS(-PAYNE), PHOEB"
SHE-HULK/JENNIFER WA,QUASAR III/WENDELL V
SHE-HULK/JENNIFER WA,SERSI/SYLVIA
SHE-HULK/JENNIFER WA,HULK/DR. ROBERT BRUC
HULK/DR. ROBERT BRUC,"MARRS(-PAYNE), PHOEB"
HULK/DR. ROBERT BRUC,QUASAR III/WENDELL V
HULK/DR. ROBERT BRUC,SERSI/SYLVIA
SERSI/SYLVIA,"MARRS(-PAYNE), PHOEB"
SERSI/SYLVIA,QUASAR III/WENDELL V
QUASAR III/WENDELL V,"MARRS(-PAYNE), PHOEB"
"BERKELEY, TRAVIS",DEATHTOLL
"BERKELEY, TRAVIS","LIN, PAULA"
"BERKELEY, TRAVIS","MILLER, TRACE"
"BERKELEY, TRAVIS","JEFFRIES, DR."
"BERKELEY, TRAVIS","LACOSTE, RAE"
"BERKELEY, TRAVIS","BERGIER, REBECCA"
"BERKELEY, TRAVIS",IRON MAN IV/JAMES R.
"BERKELEY, TRAVIS","JOSEPH, SHEVA"
"JOSEPH, SHEVA",DEATHTOLL
"JOSEPH, SHEVA","LIN, PAULA"
"JOSEPH, SHEVA","MILLER, TRACE"
"JOSEPH, SHEVA","JEFFRIES, DR."
"JOSEPH, SHEVA","LACOSTE, RAE"
"JOSEPH, SHEVA","BERGIER, REBECCA"
"JOSEPH, SHEVA",IRON MAN IV/JAMES R.
IRON MAN IV/JAMES R.,DEATHTOLL
IRON MAN IV/JAMES R.,"LIN, PAULA"
IRON MAN IV/JAMES R.,"MILLER, TRACE"
IRON MAN IV/JAMES R.,"JEFFRIES, DR."
IRON MAN IV/JAMES R.,"LACOSTE, RAE"
IRON MAN IV/JAMES R.,"BERGIER, REBECCA"
"BERGIER, REBECCA",DEATHTOLL
"BERGIER, REBECCA","LIN, PAULA"
"BERGIER, REBECCA","MILLER, TRACE"
"BERGIER, REBECCA","JEFFRIES, DR."
"BERGIER, REBECCA","LACOSTE, RAE"
"LACOSTE, RAE",DEATHTOLL
"LACOSTE, RAE","LIN, PAULA"
"LACOSTE, RAE","MILLER, TRACE"
"LACOSTE, RAE","JEFFRIES, DR."
"JEFFRIES, DR.",DEATHTOLL
"JEFFRIES, DR.","LIN, PAULA"
"JEFFRIES, DR.","MILLER, TRACE"
"MILLER, TRACE",DEATHTOLL
"MILLER, TRACE","LIN, PAULA"
"LIN, PAULA",DEATHTOLL
SNOWBIRD | MUTANT X-,SASQUATCH | MUTANT X
SNOWBIRD | MUTANT X-,WOLVERINE | MUTANT X
SNOWBIRD | MUTANT X-,SHAMAN | MUTANT X-VE
SNOWBIRD | MUTANT X-,ICE-MAN | MUTANT X-V
SNOWBIRD | MUTANT X-,PUCK | MUTANT X-VERS
SNOWBIRD | MUTANT X-,BRUTE | MUTANT X-VER
SNOWBIRD | MUTANT X-,SABRETOOTH | MUTANT
SNOWBIRD | MUTANT X-,FALLEN | MUTANT X-VE
SNOWBIRD | MUTANT X-,BLOODSTORM | MUTANT
SNOWBIRD | MUTANT X-,NORTHSTAR | MUTANT X
SNOWBIRD | MUTANT X-,GUARDIAN | MUTANT X-
SNOWBIRD | MUTANT X-,WILD CHILD | MUTANT
SNOWBIRD | MUTANT X-,HAVOK/ALEX SUMMERS
SNOWBIRD | MUTANT X-,AURORA | MUTANT X-VE
SNOWBIRD | MUTANT X-,MARVEL WOMAN | MUTAN
MARVEL WOMAN | MUTAN,SASQUATCH | MUTANT X
MARVEL WOMAN | MUTAN,WOLVERINE | MUTANT X
MARVEL WOMAN | MUTAN,SHAMAN | MUTANT X-VE
MARVEL WOMAN | MUTAN,ICE-MAN | MUTANT X-V
MARVEL WOMAN | MUTAN,PUCK | MUTANT X-VERS
MARVEL WOMAN | MUTAN,BRUTE | MUTANT X-VER
MARVEL WOMAN | MUTAN,SABRETOOTH | MUTANT
MARVEL WOMAN | MUTAN,FALLEN | MUTANT X-VE
MARVEL WOMAN | MUTAN,BLOODSTORM | MUTANT
MARVEL WOMAN | MUTAN,NORTHSTAR | MUTANT X
MARVEL WOMAN | MUTAN,GUARDIAN | MUTANT X-
MARVEL WOMAN | MUTAN,WILD CHILD | MUTANT
MARVEL WOMAN | MUTAN,HAVOK/ALEX SUMMERS
MARVEL WOMAN | MUTAN,AURORA | MUTANT X-VE
AURORA | MUTANT X-VE,SASQUATCH | MUTANT X
AURORA | MUTANT X-VE,WOLVERINE | MUTANT X
AURORA | MUTANT X-VE,SHAMAN | MUTANT X-VE
AURORA | MUTANT X-VE,ICE-MAN | MUTANT X-V
AURORA | MUTANT X-VE,PUCK | MUTANT X-VERS
AURORA | MUTANT X-VE,BRUTE | MUTANT X-VER
AURORA | MUTANT X-VE,SABRETOOTH | MUTANT
AURORA | MUTANT X-VE,FALLEN | MUTANT X-VE
AURORA | MUTANT X-VE,BLOODSTORM | MUTANT
AURORA | MUTANT X-VE,NORTHSTAR | MUTANT X
AURORA | MUTANT X-VE,GUARDIAN | MUTANT X-
AURORA | MUTANT X-VE,WILD CHILD | MUTANT
AURORA | MUTANT X-VE,HAVOK/ALEX SUMMERS
HAVOK/ALEX SUMMERS,SASQUATCH | MUTANT X
HAVOK/ALEX SUMMERS,WOLVERINE | MUTANT X
HAVOK/ALEX SUMMERS,SHAMAN | MUTANT X-VE
HAVOK/ALEX SUMMERS,ICE-MAN | MUTANT X-V
HAVOK/ALEX SUMMERS,PUCK | MUTANT X-VERS
HAVOK/ALEX SUMMERS,BRUTE | MUTANT X-VER
HAVOK/ALEX SUMMERS,SABRETOOTH | MUTANT
HAVOK/ALEX SUMMERS,FALLEN | MUTANT X-VE
HAVOK/ALEX SUMMERS,BLOODSTORM | MUTANT
HAVOK/ALEX SUMMERS,NORTHSTAR | MUTANT X
HAVOK/ALEX SUMMERS,GUARDIAN | MUTANT X-
HAVOK/ALEX SUMMERS,WILD CHILD | MUTANT
WILD CHILD | MUTANT,SASQUATCH | MUTANT X
WILD CHILD | MUTANT,WOLVERINE | MUTANT X
WILD CHILD | MUTANT,SHAMAN | MUTANT X-VE
WILD CHILD | MUTANT,ICE-MAN | MUTANT X-V
WILD CHILD | MUTANT,PUCK | MUTANT X-VERS
WILD CHILD | MUTANT,BRUTE | MUTANT X-VER
WILD CHILD | MUTANT,SABRETOOTH | MUTANT
WILD CHILD | MUTANT,FALLEN | MUTANT X-VE
WILD CHILD | MUTANT,BLOODSTORM | MUTANT
WILD CHILD | MUTANT,NORTHSTAR | MUTANT X
WILD CHILD | MUTANT,GUARDIAN | MUTANT X-
GUARDIAN | MUTANT X-,SASQUATCH | MUTANT X
GUARDIAN | MUTANT X-,WOLVERINE | MUTANT X
GUARDIAN | MUTANT X-,SHAMAN | MUTANT X-VE
GUARDIAN | MUTANT X-,ICE-MAN | MUTANT X-V
GUARDIAN | MUTANT X-,PUCK | MUTANT X-VERS
GUARDIAN | MUTANT X-,BRUTE | MUTANT X-VER
GUARDIAN | MUTANT X-,SABRETOOTH | MUTANT
GUARDIAN | MUTANT X-,FALLEN | MUTANT X-VE
GUARDIAN | MUTANT X-,BLOODSTORM | MUTANT
GUARDIAN | MUTANT X-,NORTHSTAR | MUTANT X
NORTHSTAR | MUTANT X,SASQUATCH | MUTANT X
NORTHSTAR | MUTANT X,WOLVERINE | MUTANT X
NORTHSTAR | MUTANT X,SHAMAN | MUTANT X-VE
NORTHSTAR | MUTANT X,ICE-MAN | MUTANT X-V
NORTHSTAR | MUTANT X,PUCK | MUTANT X-VERS
NORTHSTAR | MUTANT X,BRUTE | MUTANT X-VER
NORTHSTAR | MUTANT X,SABRETOOTH | MUTANT
NORTHSTAR | MUTANT X,FALLEN | MUTANT X-VE
NORTHSTAR | MUTANT X,BLOODSTORM | MUTANT
BLOODSTORM | MUTANT,SASQUATCH | MUTANT X
BLOODSTORM | MUTANT,WOLVERINE | MUTANT X
BLOODSTORM | MUTANT,SHAMAN | MUTANT X-VE
BLOODSTORM | MUTANT,ICE-MAN | MUTANT X-V
BLOODSTORM | MUTANT,PUCK | MUTANT X-VERS
BLOODSTORM | MUTANT,BRUTE | MUTANT X-VER
BLOODSTORM | MUTANT,SABRETOOTH | MUTANT
BLOODSTORM | MUTANT,FALLEN | MUTANT X-VE
FALLEN | MUTANT X-VE,SASQUATCH | MUTANT X
FALLEN | MUTANT X-VE,WOLVERINE | MUTANT X
FALLEN | MUTANT X-VE,SHAMAN | MUTANT X-VE
FALLEN | MUTANT X-VE,ICE-MAN | MUTANT X-V
FALLEN | MUTANT X-VE,PUCK | MUTANT X-VERS
FALLEN | MUTANT X-VE,BRUTE | MUTANT X-VER
FALLEN | MUTANT X-VE,SABRETOOTH | MUTANT
SABRETOOTH | MUTANT,SASQUATCH | MUTANT X
SABRETOOTH | MUTANT,WOLVERINE | MUTANT X
SABRETOOTH | MUTANT,SHAMAN | MUTANT X-VE
SABRETOOTH | MUTANT,ICE-MAN | MUTANT X-V
SABRETOOTH | MUTANT,PUCK | MUTANT X-VERS
SABRETOOTH | MUTANT,BRUTE | MUTANT X-VER
BRUTE | MUTANT X-VER,SASQUATCH | MUTANT X
BRUTE | MUTANT X-VER,WOLVERINE | MUTANT X
BRUTE | MUTANT X-VER,SHAMAN | MUTANT X-VE
BRUTE | MUTANT X-VER,ICE-MAN | MUTANT X-V
BRUTE | MUTANT X-VER,PUCK | MUTANT X-VERS
PUCK | MUTANT X-VERS,SASQUATCH | MUTANT X
PUCK | MUTANT X-VERS,WOLVERINE | MUTANT X
PUCK | MUTANT X-VERS,SHAMAN | MUTANT X-VE
PUCK | MUTANT X-VERS,ICE-MAN | MUTANT X-V
ICE-MAN | MUTANT X-V,SASQUATCH | MUTANT X
ICE-MAN | MUTANT X-V,WOLVERINE | MUTANT X
ICE-MAN | MUTANT X-V,SHAMAN | MUTANT X-VE
SHAMAN | MUTANT X-VE,SASQUATCH | MUTANT X
SHAMAN | MUTANT X-VE,WOLVERINE | MUTANT X
WOLVERINE | MUTANT X,SASQUATCH | MUTANT X
HAVOK/ALEX SUMMERS,MARVEL WOMAN | MUTAN
HAVOK/ALEX SUMMERS,MOOT
HAVOK/ALEX SUMMERS,ICE-MAN | MUTANT X-V
HAVOK/ALEX SUMMERS,BRUTE | MUTANT X-VER
HAVOK/ALEX SUMMERS,ELEKTRA | MUTANT X-V
HAVOK/ALEX SUMMERS,"STORM, JOHNNY | MUTA"
HAVOK/ALEX SUMMERS,BLOODSTORM | MUTANT
HAVOK/ALEX SUMMERS,"SUMMERS, SCOTT III |"
HAVOK/ALEX SUMMERS,"RICHARDS, REED | MUT"
HAVOK/ALEX SUMMERS,"GRIMM, BEN | MUTANT"
HAVOK/ALEX SUMMERS,FALLEN | MUTANT X-VE
FALLEN | MUTANT X-VE,MARVEL WOMAN | MUTAN
FALLEN | MUTANT X-VE,MOOT
FALLEN | MUTANT X-VE,ICE-MAN | MUTANT X-V
FALLEN | MUTANT X-VE,BRUTE | MUTANT X-VER
FALLEN | MUTANT X-VE,ELEKTRA | MUTANT X-V
FALLEN | MUTANT X-VE,"STORM, JOHNNY | MUTA"
FALLEN | MUTANT X-VE,BLOODSTORM | MUTANT
FALLEN | MUTANT X-VE,"SUMMERS, SCOTT III |"
FALLEN | MUTANT X-VE,"RICHARDS, REED | MUT"
FALLEN | MUTANT X-VE,"GRIMM, BEN | MUTANT"
"GRIMM, BEN | MUTANT",MARVEL WOMAN | MUTAN
"GRIMM, BEN | MUTANT",MOOT
"GRIMM, BEN | MUTANT",ICE-MAN | MUTANT X-V
"GRIMM, BEN | MUTANT",BRUTE | MUTANT X-VER
"GRIMM, BEN | MUTANT",ELEKTRA | MUTANT X-V
"GRIMM, BEN | MUTANT","STORM, JOHNNY | MUTA"
"GRIMM, BEN | MUTANT",BLOODSTORM | MUTANT
"GRIMM, BEN | MUTANT","SUMMERS, SCOTT III |"
"GRIMM, BEN | MUTANT","RICHARDS, REED | MUT"
"RICHARDS, REED | MUT",MARVEL WOMAN | MUTAN
"RICHARDS, REED | MUT",MOOT
"RICHARDS, REED | MUT",ICE-MAN | MUTANT X-V
"RICHARDS, REED | MUT",BRUTE | MUTANT X-VER
"RICHARDS, REED | MUT",ELEKTRA | MUTANT X-V
"RICHARDS, REED | MUT","STORM, JOHNNY | MUTA"
"RICHARDS, REED | MUT",BLOODSTORM | MUTANT
"RICHARDS, REED | MUT","SUMMERS, SCOTT III |"
"SUMMERS, SCOTT III |",MARVEL WOMAN | MUTAN
"SUMMERS, SCOTT III |",MOOT
"SUMMERS, SCOTT III |",ICE-MAN | MUTANT X-V
"SUMMERS, SCOTT III |",BRUTE | MUTANT X-VER
"SUMMERS, SCOTT III |",ELEKTRA | MUTANT X-V
"SUMMERS, SCOTT III |","STORM, JOHNNY | MUTA"
"SUMMERS, SCOTT III |",BLOODSTORM | MUTANT
BLOODSTORM | MUTANT,MARVEL WOMAN | MUTAN
BLOODSTORM | MUTANT,MOOT
BLOODSTORM | MUTANT,ICE-MAN | MUTANT X-V
BLOODSTORM | MUTANT,BRUTE | MUTANT X-VER
BLOODSTORM | MUTANT,ELEKTRA | MUTANT X-V
BLOODSTORM | MUTANT,"STORM, JOHNNY | MUTA"
"STORM, JOHNNY | MUTA",MARVEL WOMAN | MUTAN
"STORM, JOHNNY | MUTA",MOOT
"STORM, JOHNNY | MUTA",ICE-MAN | MUTANT X-V
"STORM, JOHNNY | MUTA",BRUTE | MUTANT X-VER
"STORM, JOHNNY | MUTA",ELEKTRA | MUTANT X-V
ELEKTRA | MUTANT X-V,MARVEL WOMAN | MUTAN
ELEKTRA | MUTANT X-V,MOOT
ELEKTRA | MUTANT X-V,ICE-MAN | MUTANT X-V
ELEKTRA | MUTANT X-V,BRUTE | MUTANT X-VER
BRUTE | MUTANT X-VER,MARVEL WOMAN | MUTAN
BRUTE | MUTANT X-VER,MOOT
BRUTE | MUTANT X-VER,ICE-MAN | MUTANT X-V
ICE-MAN | MUTANT X-V,MARVEL WOMAN | MUTAN
ICE-MAN | MUTANT X-V,MOOT
MOOT,MARVEL WOMAN | MUTAN
ICE-MAN | MUTANT X-V,MARVEL WOMAN | MUTAN
ICE-MAN | MUTANT X-V,"DUGAN, DUM DUM | MUT"
ICE-MAN | MUTANT X-V,BRUTE | MUTANT X-VER
ICE-MAN | MUTANT X-V,HAVOK | MUTANT X-VER
ICE-MAN | MUTANT X-V,FALLEN | MUTANT X-VE
ICE-MAN | MUTANT X-V,"FURY, NICK | MUTANT"
ICE-MAN | MUTANT X-V,"SUMMERS, SCOTT III |"
ICE-MAN | MUTANT X-V,BLOODSTORM | MUTANT
ICE-MAN | MUTANT X-V,HAVOK/ALEX SUMMERS
HAVOK/ALEX SUMMERS,MARVEL WOMAN | MUTAN
HAVOK/ALEX SUMMERS,"DUGAN, DUM DUM | MUT"
HAVOK/ALEX SUMMERS,BRUTE | MUTANT X-VER
HAVOK/ALEX SUMMERS,HAVOK | MUTANT X-VER
HAVOK/ALEX SUMMERS,FALLEN | MUTANT X-VE
HAVOK/ALEX SUMMERS,"FURY, NICK | MUTANT"
HAVOK/ALEX SUMMERS,"SUMMERS, SCOTT III |"
HAVOK/ALEX SUMMERS,BLOODSTORM | MUTANT
BLOODSTORM | MUTANT,MARVEL WOMAN | MUTAN
BLOODSTORM | MUTANT,"DUGAN, DUM DUM | MUT"
BLOODSTORM | MUTANT,BRUTE | MUTANT X-VER
BLOODSTORM | MUTANT,HAVOK | MUTANT X-VER
BLOODSTORM | MUTANT,FALLEN | MUTANT X-VE
BLOODSTORM | MUTANT,"FURY, NICK | MUTANT"
BLOODSTORM | MUTANT,"SUMMERS, SCOTT III |"
"SUMMERS, SCOTT III |",MARVEL WOMAN | MUTAN
"SUMMERS, SCOTT III |","DUGAN, DUM DUM | MUT"
"SUMMERS, SCOTT III |",BRUTE | MUTANT X-VER
